alpha,beta,Xalpha,Yalpha,Xbeta,Ybeta
107.9,4,0,1,1,0
160.8,9,1,0,1,0
36.9,80,1,0,0,1
101.2,123,0,1,0,1
109.6,124,0,1,0,1
10.4,34,0,1,1,0
137.1,52,1,0,0,1
86.3,34,0,1,1,0
123.6,18,0,1,1,0
100.8,77,0,1,0,1
167.0,12,1,0,1,0
154.9,106,0,1,0,1
62.4,101,0,1,0,1
33.3,69,1,0,0,1
111.1,12,0,1,1,0
3.7,64,1,0,0,1
158.9,169,1,0,1,0
77.3,174,1,0,0,1
85.6,90,1,0,0,1
142.0,150,1,0,0,1
86.7,86,0,1,1,0
137.0,49,0,1,1,0
74.8,150,0,1,0,1
152.2,69,0,1,1,0
8.0,74,1,0,1,0
31.7,106,1,0,0,1
64.7,66,1,0,1,0
42.2,176,1,0,0,1
105.2,65,0,1,0,1
169.8,61,1,0,1,0
38.1,98,1,0,0,1
131.0,28,1,0,1,0
158.6,34,1,0,1,0
121.4,106,0,1,0,1
86.2,20,0,1,1,0
111.6,51,0,1,0,1
26.6,47,1,0,1,0
178.2,23,0,1,1,0
70.9,38,1,0,1,0
112.7,178,0,1,1,0
12.6,42,1,0,1,0
133.9,84,1,0,0,1
47.8,98,0,1,0,1
51.6,119,1,0,0,1
112.0,73,0,1,1,0
10.7,66,1,0,0,1
151.1,0,0,1,1,0
64.8,121,0,1,0,1
76.3,146,1,0,0,1
50.6,87,1,0,0,1
169.2,13,0,1,1,0
76.1,93,0,1,0,1
178.7,22,1,0,1,0
123.0,160,0,1,0,1
123.4,52,0,1,0,1
128.2,178,0,1,1,0
149.2,53,0,1,1,0
58.6,2,0,1,1,0
22.0,81,1,0,0,1
38.5,141,1,0,0,1
11.9,97,1,0,0,1
107.7,117,0,1,0,1
14.2,125,1,0,0,1
88.0,52,0,1,1,0
152.4,36,1,0,1,0
131.0,171,0,1,0,1
112.3,112,0,1,0,1
95.0,106,0,1,0,1
35.4,39,1,0,1,0
68.9,83,0,1,1,0
140.1,157,0,1,0,1
37.0,100,1,0,0,1
103.6,38,0,1,1,0
101.7,38,0,1,1,0
50.0,67,1,0,1,0
21.9,1,1,0,0,1
49.6,26,1,0,1,0
161.7,16,1,0,1,0
156.0,169,1,0,0,1
25.0,117,1,0,0,1
21.0,47,1,0,1,0
176.7,133,1,0,0,1
114.7,5,0,1,1,0
179.2,1,1,0,1,0
80.8,152,1,0,1,0
12.8,20,1,0,1,0
18.7,12,1,0,1,0
52.0,112,0,1,0,1
94.6,171,1,0,0,1
160.8,64,1,0,1,0
173.7,161,0,1,0,1
14.5,88,1,0,1,0
147.2,153,0,1,0,1
77.2,123,0,1,0,1
122.0,85,0,1,0,1
90.4,106,0,1,0,1
122.5,150,0,1,0,1
155.0,166,0,1,1,0
149.8,88,1,0,1,0
160.2,118,0,1,0,1
79.3,154,1,0,0,1
62.9,128,1,0,0,1
132.3,137,0,1,0,1
112.9,72,0,1,1,0
40.9,1,1,0,1,0
169.1,46,0,1,1,0
23.7,140,1,0,0,1
152.3,85,0,1,0,1
50.1,108,1,0,0,1
144.2,158,0,1,0,1
20.8,149,1,0,0,1
72.8,154,0,1,1,0
166.8,23,1,0,1,0
52.2,74,1,0,0,1
1.5,156,0,1,1,0
122.5,22,0,1,1,0
39.6,87,1,0,1,0
89.2,62,0,1,1,0
0.9,168,1,0,0,1
133.6,76,0,1,0,1
138.1,92,0,1,0,1
52.9,167,1,0,1,0
16.7,82,1,0,0,1
150.9,40,0,1,1,0
153.0,137,1,0,0,1
104.0,63,0,1,0,1
168.9,74,1,0,0,1
154.5,117,1,0,0,1
70.5,59,0,1,0,1
43.2,170,1,0,1,0
95.1,178,0,1,1,0
33.7,163,1,0,0,1
72.2,159,0,1,1,0
142.4,18,0,1,1,0
122.8,111,0,1,0,1
73.8,122,0,1,0,1
49.1,28,1,0,1,0
157.5,61,0,1,0,1
137.2,170,1,0,1,0
164.0,135,0,1,0,1
37.1,1,1,0,1,0
118.9,141,0,1,0,1
53.0,131,1,0,0,1
79.6,161,0,1,1,0
159.3,121,1,0,0,1
99.7,66,0,1,1,0
43.4,2,1,0,1,0
39.2,103,0,1,0,1
31.0,28,1,0,1,0
62.6,25,1,0,1,0
103.6,117,1,0,0,1
13.3,169,1,0,0,1
133.1,158,0,1,0,1
79.8,165,0,1,1,0
166.3,50,0,1,1,0
18.5,57,1,0,1,0
59.2,67,1,0,0,1
75.6,98,0,1,0,1
110.6,60,0,1,1,0
52.4,154,1,0,0,1
84.6,27,0,1,1,0
96.9,72,0,1,0,1
102.6,23,0,1,1,0
11.8,54,1,0,1,0
28.8,8,1,0,1,0
80.5,179,0,1,1,0
89.0,72,1,0,1,0
176.2,45,1,0,1,0
67.5,76,0,1,0,1
42.4,121,1,0,0,1
152.8,74,1,0,1,0
49.2,30,1,0,1,0
4.4,82,1,0,0,1
147.4,150,0,1,0,1
145.1,19,1,0,1,0
166.1,89,1,0,0,1
49.7,13,0,1,1,0
21.3,124,1,0,0,1
75.6,1,0,1,1,0
119.7,30,0,1,1,0
13.0,128,1,0,0,1
116.2,42,0,1,1,0
172.2,40,1,0,1,0
5.6,118,1,0,0,1
58.1,126,1,0,1,0
153.7,99,0,1,0,1
28.9,38,1,0,1,0
55.7,68,0,1,1,0
37.6,25,1,0,1,0
121.3,156,0,1,0,1
42.6,174,1,0,0,1
160.9,148,1,0,0,1
45.2,72,1,0,0,1
168.0,15,0,1,1,0
42.3,43,1,0,1,0
146.0,11,1,0,1,0
36.2,57,1,0,0,1
4.9,174,1,0,1,0
60.4,144,1,0,0,1
28.7,94,1,0,0,1
32.6,102,1,0,0,1
15.9,128,1,0,0,1
65.9,170,0,1,0,1
136.4,81,0,1,0,1
117.3,45,0,1,1,0
103.9,142,0,1,0,1
154.3,127,1,0,0,1
151.5,53,0,1,1,0
51.5,52,1,0,1,0
27.0,61,1,0,1,0
44.6,147,1,0,1,0
179.4,26,1,0,1,0
93.6,101,0,1,0,1
148.8,169,0,1,1,0
165.3,13,0,1,1,0
18.7,68,1,0,0,1
168.1,24,1,0,1,0
14.0,41,1,0,1,0
155.5,45,0,1,1,0
130.6,130,0,1,1,0
175.7,101,1,0,0,1
39.2,174,1,0,1,0
146.5,141,0,1,0,1
136.7,48,0,1,1,0
72.1,45,0,1,1,0
133.1,176,0,1,1,0
15.3,65,1,0,1,0
76.5,49,0,1,1,0
141.4,36,0,1,1,0
25.9,137,1,0,0,1
58.2,79,0,1,0,1
166.1,26,0,1,1,0
145.8,84,0,1,0,1
16.7,74,1,0,1,0
176.4,131,1,0,0,1
163.5,123,0,1,0,1
104.8,27,0,1,1,0
77.4,109,1,0,0,1
111.6,124,0,1,0,1
162.8,8,1,0,1,0
117.0,146,0,1,0,1
176.9,57,0,1,1,0
71.4,30,0,1,1,0
28.7,41,1,0,1,0
62.8,121,0,1,0,1
170.6,136,1,0,1,0
152.9,67,0,1,0,1
62.1,80,1,0,0,1
120.8,178,0,1,1,0
68.3,10,0,1,1,0
36.3,163,1,0,0,1
37.7,96,1,0,0,1
89.8,68,0,1,0,1
53.1,69,1,0,1,0
93.1,98,0,1,0,1
13.4,118,1,0,1,0
90.3,60,0,1,0,1
178.9,131,1,0,0,1
14.0,145,1,0,1,0
149.6,144,0,1,1,0
135.6,149,0,1,1,0
41.3,154,1,0,1,0
42.2,173,0,1,1,0
123.0,145,0,1,1,0
116.3,154,0,1,0,1
24.6,70,1,0,0,1
124.9,98,0,1,0,1
54.1,104,1,0,0,1
135.4,12,0,1,1,0
128.4,72,0,1,1,0
27.1,38,1,0,0,1
100.0,64,0,1,1,0
114.7,43,0,1,0,1
135.9,134,0,1,1,0
136.3,159,0,1,1,0
163.6,145,1,0,0,1
115.2,149,0,1,1,0
3.6,110,1,0,0,1
11.5,144,1,0,0,1
75.0,176,0,1,1,0
77.3,125,1,0,1,0
95.7,154,0,1,1,0
145.9,37,0,1,1,0
112.9,34,0,1,1,0
93.8,128,0,1,0,1
50.6,170,0,1,1,0
141.9,148,1,0,0,1
7.4,114,1,0,0,1
140.9,47,0,1,1,0
59.8,166,0,1,1,0
41.4,139,1,0,0,1
72.3,34,1,0,1,0
79.3,6,1,0,1,0
149.1,58,0,1,1,0
111.4,122,0,1,0,1
63.4,74,1,0,1,0
33.9,167,1,0,1,0
102.3,103,0,1,0,1
68.1,150,1,0,1,0
58.4,161,0,1,0,1
50.9,175,1,0,0,1
173.6,104,1,0,0,1
169.5,45,1,0,1,0
123.3,78,0,1,0,1
38.0,144,1,0,1,0
76.0,55,0,1,0,1
24.0,146,1,0,0,1
81.7,66,0,1,0,1
39.3,151,1,0,1,0
169.5,144,1,0,0,1
115.0,100,0,1,0,1
5.8,135,1,0,1,0
155.6,147,0,1,0,1
110.3,165,0,1,0,1
114.2,102,0,1,0,1
106.5,57,0,1,0,1
162.8,57,1,0,0,1
115.7,173,0,1,1,0
114.8,138,0,1,0,1
129.2,110,0,1,0,1
46.2,92,1,0,0,1
29.4,37,1,0,1,0
17.0,127,1,0,0,1
162.4,106,1,0,0,1
125.5,83,0,1,0,1
176.9,58,1,0,0,1
9.0,105,1,0,0,1
176.2,98,0,1,0,1
119.9,131,0,1,0,1
28.7,112,1,0,0,1
107.5,47,0,1,1,0
174.5,164,1,0,0,1
160.6,146,1,0,0,1
82.8,95,0,1,0,1
48.6,94,1,0,0,1
117.8,159,0,1,1,0
135.6,18,0,1,1,0
119.3,63,0,1,0,1
58.5,97,1,0,1,0
174.9,10,1,0,1,0
4.0,75,1,0,1,0
85.6,59,0,1,0,1
113.9,11,0,1,1,0
155.0,1,0,1,1,0
114.1,7,0,1,1,0
100.9,97,0,1,0,1
16.4,28,1,0,1,0
179.5,4,1,0,1,0
170.0,107,0,1,0,1
46.3,73,1,0,0,1
166.2,165,1,0,0,1
17.8,140,1,0,0,1
58.5,119,0,1,0,1
105.9,6,0,1,0,1
19.8,30,1,0,1,0
90.8,153,0,1,0,1
159.6,81,0,1,1,0
172.7,127,1,0,0,1
3.3,149,1,0,1,0
11.4,13,1,0,1,0
55.0,112,0,1,0,1
110.0,167,0,1,1,0
81.9,164,0,1,0,1
151.3,20,0,1,1,0
24.7,90,1,0,0,1
137.1,63,0,1,0,1
162.2,164,0,1,0,1
94.0,97,0,1,0,1
15.6,43,1,0,1,0
132.0,87,0,1,0,1
83.2,158,0,1,0,1
133.3,36,0,1,0,1
80.6,90,0,1,0,1
64.9,135,1,0,0,1
142.4,78,0,1,0,1
41.7,42,1,0,0,1
78.5,29,1,0,1,0
123.2,125,0,1,1,0
14.7,14,1,0,1,0
123.6,122,0,1,0,1
17.0,65,1,0,0,1
134.5,173,0,1,1,0
121.6,165,0,1,1,0
143.9,145,0,1,0,1
104.8,162,0,1,0,1
1.0,40,0,1,1,0
68.9,66,0,1,1,0
20.0,93,1,0,0,1
44.0,96,1,0,0,1
77.7,95,1,0,0,1
63.3,97,0,1,0,1
56.2,32,1,0,1,0
93.3,64,1,0,0,1
174.1,123,0,1,0,1
117.4,38,0,1,0,1
47.0,51,1,0,1,0
42.0,6,1,0,1,0
93.2,120,0,1,0,1
0.5,93,1,0,0,1
126.4,37,0,1,1,0
151.1,60,0,1,1,0
140.1,12,0,1,1,0
117.2,86,0,1,0,1
69.0,12,0,1,0,1
89.3,57,0,1,1,0
46.9,44,1,0,1,0
53.4,144,1,0,1,0
162.4,114,1,0,0,1
89.8,146,0,1,0,1
118.9,160,0,1,1,0
134.9,93,0,1,0,1
164.7,34,0,1,1,0
39.4,171,1,0,0,1
134.0,76,0,1,1,0
34.7,153,1,0,1,0
21.7,149,1,0,1,0
125.2,157,0,1,1,0
98.7,15,0,1,1,0
23.9,131,1,0,0,1
69.5,70,1,0,0,1
122.1,13,0,1,1,0
69.1,101,0,1,0,1
99.3,19,0,1,1,0
128.8,128,0,1,0,1
30.0,110,1,0,0,1
30.6,114,1,0,0,1
57.1,33,1,0,1,0
46.4,69,1,0,0,1
70.3,173,0,1,1,0
39.5,173,1,0,0,1
150.9,118,0,1,0,1
11.1,139,1,0,1,0
84.2,144,1,0,0,1
161.0,112,1,0,0,1
115.9,156,0,1,0,1
78.1,127,0,1,0,1
122.9,37,0,1,1,0
115.6,100,0,1,0,1
171.7,10,0,1,1,0
112.5,132,0,1,0,1
116.2,174,0,1,0,1
70.5,143,1,0,0,1
51.4,95,0,1,0,1
14.4,86,1,0,0,1
137.5,72,1,0,0,1
17.3,100,1,0,0,1
154.9,106,1,0,0,1
111.4,32,0,1,1,0
20.8,156,1,0,0,1
41.5,112,1,0,0,1
173.9,51,1,0,1,0
34.1,123,1,0,0,1
98.3,7,0,1,1,0
122.4,74,0,1,1,0
141.3,79,0,1,0,1
17.9,175,1,0,0,1
60.8,4,1,0,1,0
118.5,91,0,1,0,1
64.0,152,1,0,0,1
101.4,159,0,1,1,0
130.7,111,0,1,0,1
18.5,10,1,0,1,0
99.6,8,0,1,1,0
32.3,73,1,0,0,1
154.0,97,1,0,0,1
42.8,34,1,0,1,0
18.0,16,1,0,1,0
17.2,73,1,0,0,1
64.0,167,0,1,0,1
97.9,30,0,1,1,0
40.3,48,1,0,0,1
88.7,112,0,1,0,1
119.8,31,0,1,1,0
22.7,22,1,0,1,0
10.3,81,1,0,1,0
87.7,113,0,1,0,1
7.1,57,1,0,0,1
101.4,43,0,1,1,0
148.3,156,1,0,0,1
108.9,124,0,1,0,1
134.1,165,0,1,1,0
89.8,53,0,1,0,1
18.9,144,1,0,1,0
101.8,78,0,1,0,1
87.6,140,1,0,0,1
116.6,151,0,1,1,0
108.3,172,0,1,1,0
74.6,121,1,0,0,1
167.5,26,0,1,1,0
129.6,13,0,1,1,0
122.0,160,0,1,0,1
62.5,113,1,0,0,1
51.1,25,1,0,1,0
5.4,98,1,0,0,1
144.9,148,0,1,0,1
52.8,15,0,1,1,0
115.9,139,0,1,0,1
79.0,70,1,0,1,0
72.8,178,1,0,0,1
139.7,78,0,1,1,0
80.0,178,0,1,1,0
67.6,41,1,0,0,1
154.9,115,1,0,0,1
5.4,32,1,0,1,0
67.3,155,1,0,1,0
48.6,77,1,0,1,0
103.2,101,0,1,1,0
146.4,161,1,0,0,1
105.5,108,0,1,0,1
125.6,163,0,1,1,0
29.1,5,1,0,1,0
59.7,66,0,1,0,1
135.0,52,0,1,1,0
21.1,30,1,0,1,0
100.7,142,0,1,0,1
162.5,153,0,1,1,0
172.9,129,0,1,0,1
18.9,136,1,0,0,1
161.6,156,0,1,0,1
60.6,98,1,0,0,1
79.0,98,0,1,0,1
41.0,123,1,0,0,1
55.5,93,0,1,0,1
57.3,54,0,1,1,0
94.5,63,0,1,1,0
22.0,92,1,0,0,1
128.9,174,0,1,1,0
116.1,27,0,1,1,0
11.3,53,1,0,1,0
156.0,26,1,0,1,0
65.8,174,0,1,0,1
41.9,37,0,1,1,0
13.3,1,1,0,0,1
133.7,11,0,1,1,0
86.7,81,1,0,0,1
151.1,1,1,0,1,0
77.2,117,0,1,0,1
179.2,133,1,0,0,1
84.1,178,0,1,1,0
171.2,16,1,0,1,0
65.7,32,0,1,1,0
107.8,131,0,1,1,0
121.9,15,0,1,1,0
142.1,63,0,1,1,0
172.8,40,1,0,1,0
77.3,145,1,0,0,1
85.7,80,0,1,0,1
27.9,133,1,0,0,1
130.9,50,1,0,1,0
57.6,80,1,0,1,0
1.7,115,1,0,0,1
52.9,141,1,0,0,1
164.3,38,1,0,1,0
54.3,131,1,0,0,1
24.6,59,1,0,0,1
85.7,10,0,1,1,0
57.9,84,1,0,0,1
91.9,133,0,1,1,0
154.3,152,0,1,1,0
110.5,55,0,1,0,1
68.5,78,0,1,0,1
133.0,17,0,1,1,0
174.1,95,1,0,1,0
34.8,132,1,0,0,1
49.0,74,0,1,0,1
166.1,84,0,1,0,1
141.4,158,0,1,0,1
137.6,12,0,1,1,0
159.0,177,1,0,1,0
18.5,102,1,0,0,1
166.0,28,0,1,1,0
21.6,22,1,0,1,0
148.7,160,0,1,1,0
115.8,96,0,1,0,1
160.2,138,1,0,0,1
154.7,92,0,1,0,1
37.7,77,1,0,0,1
12.3,56,1,0,1,0
70.1,76,1,0,1,0
164.0,32,1,0,0,1
46.8,138,1,0,1,0
31.1,147,1,0,0,1
18.7,109,1,0,0,1
128.1,18,0,1,1,0
13.1,107,1,0,0,1
58.4,155,0,1,1,0
3.3,34,1,0,1,0
126.4,51,0,1,1,0
61.0,34,0,1,1,0
66.4,171,0,1,1,0
104.3,132,0,1,0,1
78.9,113,0,1,0,1
156.2,39,1,0,1,0
179.9,163,0,1,0,1
145.1,31,1,0,1,0
10.5,161,1,0,1,0
33.7,116,1,0,0,1
31.7,117,1,0,0,1
123.9,125,0,1,0,1
62.9,178,0,1,1,0
57.2,90,1,0,0,1
125.4,90,0,1,1,0
59.3,59,0,1,1,0
166.5,31,1,0,1,0
84.5,94,0,1,0,1
59.9,53,0,1,0,1
179.0,127,1,0,0,1
168.8,14,1,0,1,0
148.6,107,1,0,0,1
15.0,44,1,0,1,0
153.6,138,0,1,0,1
19.0,23,1,0,1,0
131.9,35,0,1,1,0
123.8,94,0,1,0,1
60.5,167,0,1,1,0
130.4,42,0,1,1,0
133.6,114,0,1,0,1
149.8,147,0,1,1,0
152.3,106,1,0,0,1
101.7,63,0,1,0,1
20.7,76,1,0,1,0
138.6,48,0,1,0,1
112.1,125,0,1,0,1
108.5,74,0,1,0,1
179.7,11,1,0,1,0
97.0,83,0,1,0,1
130.6,8,0,1,1,0
43.4,19,1,0,1,0
169.4,106,1,0,0,1
133.4,47,0,1,1,0
141.2,89,1,0,0,1
57.0,92,1,0,1,0
4.1,141,1,0,0,1
155.3,54,1,0,1,0
123.1,152,0,1,1,0
96.3,17,0,1,1,0
108.0,164,0,1,0,1
51.9,11,1,0,1,0
53.6,56,0,1,1,0
128.8,28,0,1,1,0
101.7,76,0,1,1,0
67.1,76,0,1,0,1
65.3,53,1,0,0,1
83.2,66,0,1,1,0
5.9,69,1,0,0,1
71.3,87,0,1,0,1
168.7,11,0,1,1,0
30.4,155,1,0,1,0
119.0,140,0,1,0,1
4.8,131,1,0,0,1
136.5,79,0,1,0,1
162.9,107,1,0,0,1
140.1,175,0,1,1,0
7.9,109,1,0,0,1
127.8,53,0,1,1,0
142.5,124,1,0,0,1
139.4,44,0,1,1,0
99.7,90,0,1,0,1
93.5,171,0,1,1,0
156.6,114,1,0,0,1
68.9,21,0,1,1,0
64.4,41,0,1,1,0
55.0,19,1,0,1,0
112.1,170,0,1,1,0
106.1,131,0,1,0,1
1.5,148,1,0,1,0
166.3,11,1,0,1,0
41.4,162,1,0,1,0
65.2,165,1,0,0,1
140.8,43,0,1,1,0
123.4,172,0,1,1,0
59.4,18,1,0,1,0
48.8,79,0,1,1,0
178.3,110,0,1,0,1
112.9,90,0,1,0,1
21.8,78,1,0,1,0
84.7,165,0,1,1,0
133.7,80,0,1,0,1
77.6,99,0,1,0,1
141.8,11,0,1,1,0
27.8,171,1,0,1,0
60.5,106,0,1,0,1
19.8,71,1,0,0,1
120.5,83,0,1,0,1
153.4,53,0,1,0,1
31.2,68,1,0,0,1
41.2,21,1,0,1,0
65.4,65,0,1,0,1
141.2,95,0,1,0,1
28.2,44,1,0,1,0
38.1,105,1,0,0,1
142.4,89,1,0,0,1
176.7,160,1,0,0,1
161.4,77,0,1,0,1
11.1,154,1,0,0,1
12.2,107,1,0,0,1
156.6,166,1,0,1,0
169.6,58,1,0,1,0
44.6,106,1,0,0,1
156.5,179,1,0,1,0
44.7,19,1,0,1,0
46.0,78,0,1,0,1
135.8,128,0,1,0,1
3.6,50,1,0,1,0
36.7,59,1,0,1,0
20.5,77,1,0,0,1
4.3,36,1,0,1,0
111.5,116,0,1,0,1
39.9,15,1,0,1,0
145.0,43,1,0,1,0
149.8,20,0,1,1,0
154.5,125,0,1,0,1
17.2,108,1,0,0,1
8.1,92,1,0,0,1
179.2,116,1,0,0,1
111.9,167,0,1,1,0
48.2,23,0,1,1,0
166.3,145,1,0,1,0
45.8,73,1,0,0,1
43.4,72,1,0,1,0
152.4,26,0,1,1,0
74.2,167,1,0,1,0
107.3,1,0,1,1,0
158.7,11,0,1,1,0
21.4,104,1,0,0,1
85.6,59,0,1,1,0
163.0,176,1,0,1,0
60.4,152,1,0,0,1
179.9,75,1,0,1,0
93.6,33,0,1,1,0
67.7,16,1,0,1,0
145.3,107,0,1,0,1
59.3,151,1,0,0,1
146.5,69,0,1,1,0
78.3,86,0,1,1,0
132.5,135,0,1,0,1
135.4,142,0,1,0,1
100.5,56,0,1,0,1
153.2,49,0,1,1,0
19.3,61,1,0,0,1
136.5,118,0,1,0,1
47.6,9,1,0,1,0
172.3,110,1,0,0,1
105.6,26,0,1,1,0
135.5,61,1,0,1,0
56.6,5,1,0,1,0
59.9,1,0,1,1,0
156.4,91,1,0,0,1
59.4,171,0,1,1,0
54.6,78,1,0,0,1
55.8,69,1,0,1,0
24.1,90,1,0,0,1
40.5,141,1,0,1,0
167.0,174,1,0,0,1
101.4,138,0,1,0,1
82.0,157,0,1,0,1
77.5,109,0,1,0,1
105.9,106,0,1,0,1
94.5,140,0,1,0,1
72.6,165,0,1,1,0
158.5,171,0,1,0,1
109.0,103,0,1,0,1
22.1,117,1,0,0,1
164.2,65,1,0,1,0
36.1,132,1,0,1,0
12.1,144,1,0,0,1
146.0,13,1,0,1,0
75.8,130,1,0,1,0
71.2,128,1,0,1,0
32.7,177,1,0,0,1
77.5,103,0,1,0,1
104.3,41,0,1,1,0
27.0,34,1,0,1,0
84.9,98,1,0,0,1
40.0,35,1,0,1,0
157.4,159,1,0,0,1
8.2,101,1,0,0,1
9.8,52,1,0,0,1
78.7,78,0,1,0,1
51.9,130,1,0,0,1
117.8,171,0,1,1,0
